wvfFind_event23467_trackID14_opNum5.root                      Event= 23467, Track=  14, Score=0.683
wvfFind_event81780_trackID0_opNum9.root                       Event= 81780, Track=   0, Score=0.628
wvfFind_event2443_trackID3_opNum9.root                        Event=  2443, Track=   3, Score=0.411
wvfFind_event57985_trackID5_opNum4_merged.root                Event= 57985, Track=   5, Score=0.582
wvfFind_event49270_trackID29_opNum8.root                      Event= 49270, Track=  29, Score=0.778
wvfFind_event68385_trackID9_opNum5.root                       Event= 68385, Track=   9, Score=0.895
wvfFind_event56601_trackID0_opNum5.root                       Event= 56601, Track=   0, Score=0.432
wvfFind_event67096_trackID20_opNum8.root                      Event= 67096, Track=  20, Score=0.818
wvfFind_event50058_trackID4_opNum8.root                       Event= 50058, Track=   4, Score=0.782
wvfFind_event46698_trackID0_opNum5_merged.root                Event= 46698, Track=   0, Score=0.857
wvfFind_event66293_trackID8_opNum9.root                       Event= 66293, Track=   8, Score=0.924
wvfFind_event3557_trackID15_opNum7.root                       Event=  3557, Track=  15, Score=0.437
wvfFind_event52041_trackID12_opNum5.root                      Event= 52041, Track=  12, Score=0.667
wvfFind_event69150_trackID9_opNum8.root                       Event= 69150, Track=   9, Score=0.481
wvfFind_event56670_trackID8_opNum9.root                       Event= 56670, Track=   8, Score=0.743
wvfFind_event74742_trackID2_opNum5.root                       Event= 74742, Track=   2, Score=0.894
wvfFind_event18448_trackID22_opNum8.root                      Event= 18448, Track=  22, Score=0.819
wvfFind_event10968_trackID5_opNum9.root                       Event= 10968, Track=   5, Score=0.481
wvfFind_event65122_trackID0_opNum5.root                       Event= 65122, Track=   0, Score=0.846
wvfFind_event47891_trackID22_opNum3_merged.root               Event= 47891, Track=  22, Score=0.881
wvfFind_event41370_trackID5_opNum5_2.root                     Event= 41370, Track=   5, Score=0.575
wvfFind_event35713_trackID7_opNum9.root                       Event= 35713, Track=   7, Score=0.826
wvfFind_event55964_trackID15_opNum8.root                      Event= 55964, Track=  15, Score=0.731
wvfFind_event56663_trackID14_opNum5_merged.root               Event= 56663, Track=  14, Score=0.889
wvfFind_event43535_trackID18_opNum8.root                      Event= 43535, Track=  18, Score=0.763
wvfFind_event85461_trackID5_opNum5.root                       Event= 85461, Track=   5, Score=0.783
