============================================================
CONFIG SUMMARY
============================================================
SRC_DIR        : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_merged_applyCut_thre3
DST_DIR        : /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam
Cut window [A,B]: [-0.12, -0.03]
SEARCH_WINDOW  : 4
DRY_RUN        : False
LOG_FILES:
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part1.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part2.log
  - /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part3.log
============================================================

[INFO] Building Pandora_T0 index from logs...
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part1.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part2.log
[INFO] Reading /Volumes/ssd_zhang/thesis_michel/server_processing/statScript_local/event_wvf_extract/beam28891/print_part3.log
[INFO] Indexed candidates: 34469

[INFO] Found ROOT files: 25843

[COPY] event=100013, trackID=3, T0=-0.946167 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100013_trackID3_opNum5.root
[COPY] event=10001, trackID=5, T0=-0.8408 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event10001_trackID5_opNum9.root
[COPY] event=100025, trackID=6, T0=-0.424983 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100025_trackID6_opNum4.root
[COPY] event=100037, trackID=1, T0=-0.677645 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100037_trackID1_opNum4.root
[COPY] event=100042, trackID=5, T0=-1.69804 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100042_trackID5_opNum5_merged.root
[COPY] event=100054, trackID=6, T0=-2.00393 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100054_trackID6_opNum3.root
[COPY] event=100055, trackID=14, T0=-0.422742 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100055_trackID14_opNum5.root
[COPY] event=100062, trackID=12, T0=-1.56817 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100062_trackID12_opNum6.root
[COPY] event=100062, trackID=12, T0=-1.56817 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100062_trackID12_opNum6_2.root
[COPY] event=100083, trackID=3, T0=0.111969 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100083_trackID3_opNum3.root
[COPY] event=100100, trackID=7, T0=-1.99119 -> /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/beam28891_new202602/wvf_applyCut_removeBeam/wvfFind_event100100_trackID7_opNum7_merged.root
[SKIP] (in range) event=100105, trackID=19, T0=-0.0687063
[SKIP] (in range) event=100125, trackID=8, T0=-0.0689706
