wvfFind_event17279_trackID2_opNum5.root                       Event= 17279, Track=   2, Score=0.576
wvfFind_event59963_trackID8_opNum8.root                       Event= 59963, Track=   8, Score=0.582
wvfFind_event50829_trackID15_opNum5.root                      Event= 50829, Track=  15, Score=0.555
wvfFind_event186205_trackID13_opNum6_merged.root              Event=186205, Track=  13, Score=0.649
wvfFind_event33354_trackID2_opNum9.root                       Event= 33354, Track=   2, Score=0.419
wvfFind_event79251_trackID11_opNum8.root                      Event= 79251, Track=  11, Score=0.756
wvfFind_event134410_trackID2_opNum9.root                      Event=134410, Track=   2, Score=0.688
wvfFind_event178972_trackID23_opNum8.root                     Event=178972, Track=  23, Score=0.659
wvfFind_event398_trackID4_opNum4_merged.root                  Event=   398, Track=   4, Score=0.865
wvfFind_event96195_trackID23_opNum8_merged.root               Event= 96195, Track=  23, Score=0.758
wvfFind_event46065_trackID10_opNum8.root                      Event= 46065, Track=  10, Score=0.771
wvfFind_event54704_trackID11_opNum9.root                      Event= 54704, Track=  11, Score=0.718
wvfFind_event50417_trackID3_opNum5_merged.root                Event= 50417, Track=   3, Score=0.801
wvfFind_event150900_trackID5_opNum4_merged.root               Event=150900, Track=   5, Score=0.858
wvfFind_event170910_trackID9_opNum5_merged.root               Event=170910, Track=   9, Score=0.656
wvfFind_event74540_trackID10_opNum8_merged.root               Event= 74540, Track=  10, Score=0.718
wvfFind_event59448_trackID2_opNum4.root                       Event= 59448, Track=   2, Score=0.882
wvfFind_event69965_trackID2_opNum5.root                       Event= 69965, Track=   2, Score=0.661
wvfFind_event188282_trackID6_opNum5.root                      Event=188282, Track=   6, Score=0.647
wvfFind_event53803_trackID10_opNum6.root                      Event= 53803, Track=  10, Score=0.719
wvfFind_event103248_trackID0_opNum8.root                      Event=103248, Track=   0, Score=0.825
wvfFind_event24406_trackID17_opNum4.root                      Event= 24406, Track=  17, Score=0.997
wvfFind_event52613_trackID0_opNum9.root                       Event= 52613, Track=   0, Score=0.767
wvfFind_event79764_trackID7_opNum8.root                       Event= 79764, Track=   7, Score=0.532
wvfFind_event146613_trackID9_opNum5.root                      Event=146613, Track=   9, Score=0.647
wvfFind_event205468_trackID5_opNum5.root                      Event=205468, Track=   5, Score=0.742
wvfFind_event190404_trackID12_opNum8.root                     Event=190404, Track=  12, Score=0.433
wvfFind_event126923_trackID25_opNum9.root                     Event=126923, Track=  25, Score=0.501
wvfFind_event133567_trackID13_opNum5.root                     Event=133567, Track=  13, Score=0.594
wvfFind_event97446_trackID5_opNum8.root                       Event= 97446, Track=   5, Score=0.729
wvfFind_event172647_trackID0_opNum9.root                      Event=172647, Track=   0, Score=0.639
wvfFind_event205296_trackID2_opNum8.root                      Event=205296, Track=   2, Score=0.447
wvfFind_event160552_trackID13_opNum4.root                     Event=160552, Track=  13, Score=0.686
wvfFind_event172154_trackID3_opNum9.root                      Event=172154, Track=   3, Score=0.621
wvfFind_event19286_trackID11_opNum9.root                      Event= 19286, Track=  11, Score=0.739
wvfFind_event63125_trackID3_opNum4.root                       Event= 63125, Track=   3, Score=0.980
wvfFind_event3368_trackID1_opNum9.root                        Event=  3368, Track=   1, Score=0.877
wvfFind_event197639_trackID4_opNum5_merged.root               Event=197639, Track=   4, Score=0.641
wvfFind_event99527_trackID2_opNum4.root                       Event= 99527, Track=   2, Score=0.505
wvfFind_event179581_trackID13_opNum9.root                     Event=179581, Track=  13, Score=0.718
wvfFind_event127427_trackID14_opNum4_merged.root              Event=127427, Track=  14, Score=0.923
wvfFind_event35164_trackID16_opNum4_merged.root               Event= 35164, Track=  16, Score=0.712
wvfFind_event71109_trackID9_opNum4.root                       Event= 71109, Track=   9, Score=0.436
wvfFind_event163121_trackID21_opNum5.root                     Event=163121, Track=  21, Score=0.770
wvfFind_event84454_trackID0_opNum4.root                       Event= 84454, Track=   0, Score=0.836
wvfFind_event16754_trackID8_opNum9.root                       Event= 16754, Track=   8, Score=0.843
wvfFind_event180449_trackID0_opNum5_merged.root               Event=180449, Track=   0, Score=0.435
wvfFind_event183737_trackID10_opNum4_merged.root              Event=183737, Track=  10, Score=0.875
wvfFind_event184625_trackID25_opNum6.root                     Event=184625, Track=  25, Score=0.546
wvfFind_event33761_trackID11_opNum5_merged.root               Event= 33761, Track=  11, Score=0.729
wvfFind_event120514_trackID23_opNum8_2.root                   Event=120514, Track=  23, Score=0.458
wvfFind_event16211_trackID6_opNum6.root                       Event= 16211, Track=   6, Score=0.552
wvfFind_event23366_trackID27_opNum7_merged.root               Event= 23366, Track=  27, Score=0.605
wvfFind_event204499_trackID5_opNum9.root                      Event=204499, Track=   5, Score=0.862
wvfFind_event50408_trackID3_opNum4.root                       Event= 50408, Track=   3, Score=0.465
wvfFind_event119341_trackID15_opNum9.root                     Event=119341, Track=  15, Score=0.541
wvfFind_event101392_trackID0_opNum5_merged.root               Event=101392, Track=   0, Score=0.889
wvfFind_event168555_trackID14_opNum8_merged.root              Event=168555, Track=  14, Score=0.916
wvfFind_event160809_trackID38_opNum4.root                     Event=160809, Track=  38, Score=0.617
wvfFind_event4892_trackID8_opNum7.root                        Event=  4892, Track=   8, Score=0.438
wvfFind_event1878_trackID33_opNum7.root                       Event=  1878, Track=  33, Score=0.404
wvfFind_event192998_trackID4_opNum9_merged.root               Event=192998, Track=   4, Score=0.928
wvfFind_event139584_trackID10_opNum8.root                     Event=139584, Track=  10, Score=0.793
wvfFind_event88800_trackID12_opNum6_merged.root               Event= 88800, Track=  12, Score=0.688
wvfFind_event57187_trackID6_opNum5.root                       Event= 57187, Track=   6, Score=0.846
wvfFind_event140365_trackID10_opNum4.root                     Event=140365, Track=  10, Score=0.604
wvfFind_event195261_trackID16_opNum6_2.root                   Event=195261, Track=  16, Score=0.583
wvfFind_event14047_trackID2_opNum9_merged.root                Event= 14047, Track=   2, Score=0.857
wvfFind_event205125_trackID4_opNum5.root                      Event=205125, Track=   4, Score=0.861
wvfFind_event160674_trackID17_opNum6.root                     Event=160674, Track=  17, Score=0.758
wvfFind_event112916_trackID5_opNum4.root                      Event=112916, Track=   5, Score=0.447
wvfFind_event88426_trackID12_opNum9.root                      Event= 88426, Track=  12, Score=0.522
wvfFind_event136021_trackID2_opNum9.root                      Event=136021, Track=   2, Score=0.830
wvfFind_event151914_trackID7_opNum8.root                      Event=151914, Track=   7, Score=0.561
wvfFind_event56128_trackID14_opNum9.root                      Event= 56128, Track=  14, Score=0.638
wvfFind_event7107_trackID18_opNum8_merged.root                Event=  7107, Track=  18, Score=0.471
wvfFind_event127141_trackID11_opNum8.root                     Event=127141, Track=  11, Score=0.811
wvfFind_event144737_trackID13_opNum9.root                     Event=144737, Track=  13, Score=0.675
wvfFind_event171043_trackID11_opNum6_merged.root              Event=171043, Track=  11, Score=0.486
wvfFind_event67281_trackID0_opNum4.root                       Event= 67281, Track=   0, Score=0.669
wvfFind_event105257_trackID3_opNum4.root                      Event=105257, Track=   3, Score=0.933
wvfFind_event158860_trackID2_opNum4.root                      Event=158860, Track=   2, Score=0.460
wvfFind_event157047_trackID5_opNum5.root                      Event=157047, Track=   5, Score=0.984
wvfFind_event205270_trackID6_opNum4.root                      Event=205270, Track=   6, Score=0.860
wvfFind_event158804_trackID25_opNum6.root                     Event=158804, Track=  25, Score=0.580
wvfFind_event192742_trackID2_opNum5_merged.root               Event=192742, Track=   2, Score=0.788
wvfFind_event202604_trackID8_opNum9.root                      Event=202604, Track=   8, Score=0.935
wvfFind_event160683_trackID8_opNum5.root                      Event=160683, Track=   8, Score=0.818
wvfFind_event80839_trackID10_opNum4.root                      Event= 80839, Track=  10, Score=0.732
wvfFind_event175760_trackID7_opNum9_merged.root               Event=175760, Track=   7, Score=0.468
wvfFind_event111172_trackID9_opNum5.root                      Event=111172, Track=   9, Score=0.609
wvfFind_event35935_trackID8_opNum5_merged.root                Event= 35935, Track=   8, Score=0.662
wvfFind_event191234_trackID8_opNum4_merged.root               Event=191234, Track=   8, Score=0.845
wvfFind_event68765_trackID10_opNum6.root                      Event= 68765, Track=  10, Score=0.998
wvfFind_event90597_trackID8_opNum9.root                       Event= 90597, Track=   8, Score=0.461
wvfFind_event205416_trackID5_opNum4_merged.root               Event=205416, Track=   5, Score=0.601
wvfFind_event14739_trackID3_opNum5_merged.root                Event= 14739, Track=   3, Score=0.890
wvfFind_event27706_trackID7_opNum8.root                       Event= 27706, Track=   7, Score=0.443
wvfFind_event140_trackID21_opNum9.root                        Event=   140, Track=  21, Score=0.901
wvfFind_event151303_trackID2_opNum8.root                      Event=151303, Track=   2, Score=0.914
wvfFind_event138597_trackID6_opNum4_merged.root               Event=138597, Track=   6, Score=0.513
wvfFind_event159702_trackID7_opNum4.root                      Event=159702, Track=   7, Score=0.588
wvfFind_event128653_trackID5_opNum9.root                      Event=128653, Track=   5, Score=0.627
wvfFind_event141590_trackID10_opNum8.root                     Event=141590, Track=  10, Score=0.543
wvfFind_event149630_trackID7_opNum4.root                      Event=149630, Track=   7, Score=0.457
wvfFind_event9306_trackID0_opNum4_2.root                      Event=  9306, Track=   0, Score=0.928
