[INFO] Source directory: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_20251028/
[INFO] Destination directory: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_applyCut_20251028/
[WARNING] Destination already exists, removing: /Volumes/ssd_zhang/thesis_michel/server_processing/t0_rootFiles/new20251010s/wvf_merged_applyCut_20251028/
[INFO] Created clean destination directory.
[INFO] Found 3598 ROOT files to process.
[PASS] wvfFind_event3501_trackID9_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event10633_trackID16_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event7748_trackID12_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event17472_trackID3_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event15409_trackID19_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21349_trackID1_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event23424_trackID14_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event15767_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event12588_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event22736_trackID5_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21455_trackID1_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event1317_trackID17_opNum2_merged.root (ms_ch=2)
[PASS] wvfFind_event11120_trackID13_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event9458_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event7281_trackID16_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event17751_trackID8_opNum3_merged.root → copied (ms_ch=3)
[PASS] wvfFind_event17035_trackID24_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event6092_trackID7_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event17974_trackID4_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event14410_trackID20_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event11867_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event12843_trackID8_opNum7_merged.root → copied (ms_ch=7)
[PASS] wvfFind_event15668_trackID0_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event5387_trackID8_opNum1_merged.root (ms_ch=1)
[PASS] wvfFind_event3211_trackID12_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event9873_trackID21_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event18530_trackID10_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event5661_trackID14_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event8210_trackID2_opNum9_merged.root → copied (ms_ch=9)
[SKIP] wvfFind_event6269_trackID17_opNum2.root (ms_ch=2)
[PASS] wvfFind_event3135_trackID17_opNum4_merged.root → copied (ms_ch=4)
[PASS] wvfFind_event22599_trackID18_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21827_trackID20_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event13085_trackID14_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15029_trackID7_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event10131_trackID6_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event21438_trackID10_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event5551_trackID17_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event20006_trackID14_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event9579_trackID20_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event11581_trackID9_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event3960_trackID15_opNum9_merged.root → copied (ms_ch=9)
[PASS] wvfFind_event15939_trackID19_opNum8_merged.root → copied (ms_ch=8)
[PASS] wvfFind_event19860_trackID2_opNum9_merged.root → copied (ms_ch=9)
