#events with |diff| <= 500:  2223 / 3411 (65.17%)

#events with |diff| > 500 :  1188 / 3411 (34.83%)
Event 0: PdsEventNew(muon_time=126, michel_time=486, muon_intensity=13.0164, michel_intensity=1.85365, posX=76.696, posY=459.051, posZ=74.0443, energy=-1.0, lifetime=-1.0, pdg=0, eventID=10104, trackID=18, date=20250828, reco_lifetime=5760, true_lifetime=-1000.0, diff_lifetime=6760.0)



Event 1: PdsEventNew(muon_time=125, michel_time=342, muon_intensity=12.9291, michel_intensity=0.934101, posX=33.8829, posY=241.002, posZ=64.4633, energy=36.2918, lifetime=1.73362, pdg=-11, eventID=10143, trackID=8, date=20250828, reco_lifetime=3472, true_lifetime=1733.62, diff_lifetime=1738.38)


Event 2: PdsEventNew(muon_time=128, michel_time=654, muon_intensity=15.5115, michel_intensity=8.10843, posX=51.8687, posY=193.018, posZ=349.94, energy=-1.0, lifetime=-1.0, pdg=0, eventID=10198, trackID=3, date=20250828, reco_lifetime=8416, true_lifetime=-1000.0, diff_lifetime=9416.0)


Event 3: PdsEventNew(muon_time=127, michel_time=457, muon_intensity=37.8399, michel_intensity=13.6497, posX=-127.833, posY=316.117, posZ=327.628, energy=45.5743, lifetime=2.85266, pdg=-11, eventID=10319, trackID=9, date=20250828, reco_lifetime=5280, true_lifetime=2852.6600000000003, diff_lifetime=2427.3399999999997)



Event 4: PdsEventNew(muon_time=126, michel_time=225, muon_intensity=9.06636, michel_intensity=1.14842, posX=105.909, posY=263.96, posZ=423.251, energy=23.5228, lifetime=0.472586, pdg=11, eventID=10381, trackID=1, date=20250828, reco_lifetime=1584, true_lifetime=472.586, diff_lifetime=1111.414)
Event 5: PdsEventNew(muon_time=129, michel_time=267, muon_intensity=34.3986, michel_intensity=0.977697, posX=13.0929, posY=520.651, posZ=351.712, energy=36.3868, lifetime=0.39231, pdg=11, eventID=10400, trackID=26, date=20250828, reco_lifetime=2208, true_lifetime=392.31, diff_lifetime=1815.69)
Event 6: PdsEventNew(muon_time=126, michel_time=190, muon_intensity=7.62599, michel_intensity=1.4681, posX=-81.4658, posY=301.13, posZ=288.451, energy=29.8811, lifetime=0.378507, pdg=-11, eventID=10468, trackID=15, date=20250828, reco_lifetime=1024, true_lifetime=378.507, diff_lifetime=645.4929999999999)

Event 7: PdsEventNew(muon_time=126, michel_time=254, muon_intensity=5.89942, michel_intensity=1.07608, posX=-72.8389, posY=287.209, posZ=284.413, energy=15.4084, lifetime=0.12414, pdg=-11, eventID=1051, trackID=9, date=20250828, reco_lifetime=2048, true_lifetime=124.14, diff_lifetime=1923.86)
Event 8: PdsEventNew(muon_time=127, michel_time=270, muon_intensity=26.6148, michel_intensity=1.26604, posX=135.841, posY=78.2309, posZ=131.411, energy=47.6294, lifetime=0.298415, pdg=-11, eventID=10560, trackID=18, date=20250828, reco_lifetime=2288, true_lifetime=298.41499999999996, diff_lifetime=1989.585)
