PdsEventNew(muon_time=125, michel_time=192, muon_intensity=4.89134, michel_intensity=2.11457, third_intensity=0.635399, posX=59.9291, posY=424.091, posZ=354.071, energy=44.1606, lifetime=1.16919, pdg=-11, eventID=13825, trackID=15, date=20250828, reco_lifetime=1072, true_lifetime=1169.19, diff_lifetime=-97.19000000000005, michel_rise=0.0845828, michel_drop=0.132534375)
PdsEventNew(muon_time=126, michel_time=282, muon_intensity=6.10486, michel_intensity=1.21806, third_intensity=0.460325, posX=-105.213, posY=403.801, posZ=370.76, energy=36.868, lifetime=2.59247, pdg=-11, eventID=4025, trackID=18, date=20250828, reco_lifetime=2496, true_lifetime=2592.4700000000003, diff_lifetime=-96.47000000000025, michel_rise=0.08409, michel_drop=0.07165058823529412)


PdsEventNew(muon_time=124, michel_time=231, muon_intensity=8.01931, michel_intensity=2.16291, third_intensity=0.912419, posX=32.0637, posY=234.802, posZ=69.9254, energy=43.1311, lifetime=1.80952, pdg=-11, eventID=6365, trackID=10, date=20250828, reco_lifetime=1712, true_lifetime=1809.52, diff_lifetime=-97.51999999999998, michel_rise=0.0981532, michel_drop=0.135181875)


PdsEventNew(muon_time=126, michel_time=204, muon_intensity=6.31415, michel_intensity=1.48725, third_intensity=0.52214, posX=62.8265, posY=345.645, posZ=314.276, energy=35.7503, lifetime=1.34551, pdg=-11, eventID=16708, trackID=18, date=20250916, reco_lifetime=1248, true_lifetime=1345.51, diff_lifetime=-97.50999999999999, michel_rise=0.08419578947368421, michel_drop=0.07082142857142856)
PdsEventNew(muon_time=128, michel_time=178, muon_intensity=4.27483, michel_intensity=1.1113, third_intensity=0.487329, posX=-125.427, posY=77.4352, posZ=291.956, energy=47.6395, lifetime=0.903238, pdg=-11, eventID=18857, trackID=1, date=20250916, reco_lifetime=800, true_lifetime=903.2379999999999, diff_lifetime=-103.23799999999994, michel_rise=0.07051190476190476, michel_drop=0.052919047619047616)
PdsEventNew(muon_time=125, michel_time=167, muon_intensity=7.41526, michel_intensity=1.85031, third_intensity=0.87018, posX=28.0417, posY=202.481, posZ=165.856, energy=49.5667, lifetime=0.768061, pdg=-11, eventID=5692, trackID=13, date=20250916, reco_lifetime=672, true_lifetime=768.061, diff_lifetime=-96.06100000000004, michel_rise=0.12588529411764707, michel_drop=0.14233153846153845)
PdsEventNew(muon_time=130, michel_time=267, muon_intensity=52.8366, michel_intensity=7.08995, third_intensity=1.69741, posX=239.287, posY=167.597, posZ=258.502, energy=26.8215, lifetime=2.29371, pdg=-11, eventID=6961, trackID=2, date=20250916, reco_lifetime=2192, true_lifetime=2293.71, diff_lifetime=-101.71000000000004, michel_rise=0.3938861111111111, michel_drop=0.26515)


PdsEventNew(muon_time=128, michel_time=205, muon_intensity=21.7472, michel_intensity=4.30984, third_intensity=0.931941, posX=169.245, posY=91.8564, posZ=399.949, energy=47.7301, lifetime=1.34189, pdg=-11, eventID=12877, trackID=3, date=20250917, reco_lifetime=1232, true_lifetime=1341.89, diff_lifetime=-109.8900000000001, michel_rise=0.30784571428571433, michel_drop=0.2480486956521739)


PdsEventNew(muon_time=127, michel_time=168, muon_intensity=17.1633, michel_intensity=3.32277, third_intensity=0.536105, posX=70.9619, posY=251.215, posZ=355.335, energy=24.7217, lifetime=0.758965, pdg=-11, eventID=12983, trackID=9, date=20250917, reco_lifetime=656, true_lifetime=758.965, diff_lifetime=-102.96500000000003, michel_rise=0.18690761904761904, michel_drop=0.09229916666666665)
PdsEventNew(muon_time=127, michel_time=186, muon_intensity=27.9341, michel_intensity=4.0041, third_intensity=1.46505, posX=151.046, posY=190.204, posZ=167.102, energy=35.4104, lifetime=1.04233, pdg=-11, eventID=18506, trackID=16, date=20250917, reco_lifetime=944, true_lifetime=1042.33, diff_lifetime=-98.32999999999993, michel_rise=0.3080076923076923, michel_drop=0.36936083333333336)
PdsEventNew(muon_time=124, michel_time=160, muon_intensity=6.26933, michel_intensity=1.54412, third_intensity=0.860925, posX=68.1321, posY=505.499, posZ=104.149, energy=23.5206, lifetime=0.685168, pdg=-11, eventID=373, trackID=13, date=20250917, reco_lifetime=576, true_lifetime=685.168, diff_lifetime=-109.168, michel_rise=0.07567571428571429, michel_drop=0.061764799999999995)

--------------------


Event 0: PdsEventNew(muon_time=127, michel_time=311, muon_intensity=27.0635, michel_intensity=4.77318, third_intensity=1.48489, posX=153.063, posY=267.21, posZ=136.833, energy=35.7537, lifetime=2.96745, pdg=11, eventID=10001, trackID=11, date=20250828, reco_lifetime=2944, true_lifetime=2967.45, diff_lifetime=-23.449999999999818, michel_rise=0.2546426315789474, michel_drop=0.34094142857142856)
Event 1: PdsEventNew(muon_time=127, michel_time=238, muon_intensity=9.40205, michel_intensity=1.65842, third_intensity=0.384849, posX=-149.41, posY=75.7779, posZ=369.147, energy=37.7888, lifetime=1.79514, pdg=-11, eventID=10004, trackID=2, date=20250828, reco_lifetime=1776, true_lifetime=1795.1399999999999, diff_lifetime=-19.139999999999873, michel_rise=0.0663368, michel_drop=0.06089125)
Event 2: PdsEventNew(muon_time=128, michel_time=485, muon_intensity=34.4236, michel_intensity=6.36726, third_intensity=1.95331, posX=144.901, posY=222.211, posZ=178.622, energy=41.4973, lifetime=5.75709, pdg=-11, eventID=10059, trackID=8, date=20250828, reco_lifetime=5712, true_lifetime=5757.09, diff_lifetime=-45.090000000000146, michel_rise=0.38015470588235295, michel_drop=0.23582444444444445)
Event 3: PdsEventNew(muon_time=128, michel_time=220, muon_intensity=68.1448, michel_intensity=14.247, third_intensity=2.56231, posX=224.217, posY=129.298, posZ=46.5401, energy=42.2223, lifetime=1.52353, pdg=-11, eventID=10065, trackID=10, date=20250828, reco_lifetime=1472, true_lifetime=1523.53, diff_lifetime=-51.52999999999997, michel_rise=0.7915, michel_drop=0.627012)
Event 4: PdsEventNew(muon_time=128, michel_time=163, muon_intensity=26.7688, michel_intensity=5.93589, third_intensity=1.41692, posX=164.121, posY=184.28, posZ=291.154, energy=34.9442, lifetime=0.590435, pdg=-11, eventID=10108, trackID=19, date=20250828, reco_lifetime=560, true_lifetime=590.4350000000001, diff_lifetime=-30.43500000000006, michel_rise=0.39572599999999997, michel_drop=0.21446054054054053)



Event 5: PdsEventNew(muon_time=128, michel_time=161, muon_intensity=23.1585, michel_intensity=3.68372, third_intensity=0.919542, posX=143.4, posY=287.17, posZ=282.088, energy=33.5012, lifetime=0.588917, pdg=-11, eventID=10132, trackID=3, date=20250828, reco_lifetime=528, true_lifetime=588.917, diff_lifetime=-60.91700000000003, michel_rise=0.32195999999999997, michel_drop=0.28336307692307694)



Event 6: PdsEventNew(muon_time=128, michel_time=287, muon_intensity=32.8631, michel_intensity=5.24597, third_intensity=1.91764, posX=178.43, posY=326.054, posZ=308.417, energy=40.7596, lifetime=2.57425, pdg=-11, eventID=10177, trackID=2, date=20250828, reco_lifetime=2544, true_lifetime=2574.25, diff_lifetime=-30.25, michel_rise=0.2332384, michel_drop=0.2098388)
Event 7: PdsEventNew(muon_time=128, michel_time=303, muon_intensity=21.9819, michel_intensity=3.80741, third_intensity=1.10587, posX=163.344, posY=372.416, posZ=340.227, energy=27.7397, lifetime=2.85354, pdg=-11, eventID=1029, trackID=12, date=20250828, reco_lifetime=2800, true_lifetime=2853.54, diff_lifetime=-53.539999999999964, michel_rise=0.237963125, michel_drop=0.2784364285714286)
Event 8: PdsEventNew(muon_time=128, michel_time=199, muon_intensity=17.4033, michel_intensity=2.49384, third_intensity=1.25186, posX=-207.794, posY=92.9023, posZ=294.442, energy=32.8785, lifetime=1.17996, pdg=-11, eventID=10372, trackID=8, date=20250828, reco_lifetime=1136, true_lifetime=1179.9599999999998, diff_lifetime=-43.95999999999981, michel_rise=0.19183384615384616, michel_drop=0.10964)
Event 9: PdsEventNew(muon_time=128, michel_time=343, muon_intensity=40.4368, michel_intensity=7.48646, third_intensity=2.59251, posX=-253.841, posY=409.032, posZ=306.778, energy=37.4654, lifetime=3.47545, pdg=-11, eventID=10456, trackID=4, date=20250828, reco_lifetime=3440, true_lifetime=3475.45, diff_lifetime=-35.44999999999982, michel_rise=0.4207347368421053, michel_drop=0.3940242105263158)
Event 10: PdsEventNew(muon_time=128, michel_time=176, muon_intensity=15.1909, michel_intensity=3.23323, third_intensity=0.461481, posX=169.703, posY=181.896, posZ=389.226, energy=26.6795, lifetime=0.802247, pdg=-11, eventID=10508, trackID=0, date=20250828, reco_lifetime=768, true_lifetime=802.2470000000001, diff_lifetime=-34.24700000000007, michel_rise=0.23094499999999998, michel_drop=0.1457715625)
Event 11: PdsEventNew(muon_time=126, michel_time=257, muon_intensity=9.51802, michel_intensity=2.37788, third_intensity=1.35487, posX=-112.042, posY=305.712, posZ=312.706, energy=39.8363, lifetime=2.14707, pdg=-11, eventID=10515, trackID=1, date=20250828, reco_lifetime=2096, true_lifetime=2147.0699999999997, diff_lifetime=-51.06999999999971, michel_rise=0.08024666666666667, michel_drop=0.05284177777777778)
Event 12: PdsEventNew(muon_time=126, michel_time=225, muon_intensity=8.05601, michel_intensity=1.80607, third_intensity=0.598845, posX=46.3467, posY=52.4735, posZ=214.441, energy=27.6251, lifetime=1.66188, pdg=-11, eventID=10595, trackID=22, date=20250828, reco_lifetime=1584, true_lifetime=1661.88, diff_lifetime=-77.88000000000011, michel_rise=0.06689148148148148, michel_drop=0.14549058823529412)
Event 13: PdsEventNew(muon_time=128, michel_time=526, muon_intensity=60.0858, michel_intensity=8.90059, third_intensity=1.25909, posX=-263.604, posY=316.859, posZ=358.38, energy=37.6733, lifetime=6.41298, pdg=-11, eventID=10683, trackID=7, date=20250828, reco_lifetime=6368, true_lifetime=6412.9800000000005, diff_lifetime=-44.98000000000047, michel_rise=0.31736969696969697, michel_drop=0.423837619047619)
Event 14: PdsEventNew(muon_time=126, michel_time=172, muon_intensity=6.83492, michel_intensity=2.21998, third_intensity=0.793416, posX=64.5876, posY=412.718, posZ=311.443, energy=35.7617, lifetime=0.754436, pdg=-11, eventID=10696, trackID=7, date=20250828, reco_lifetime=736, true_lifetime=754.436, diff_lifetime=-18.436000000000035, michel_rise=0.08538384615384616, michel_drop=0.12122214285714285)
Event 15: PdsEventNew(muon_time=126, michel_time=502, muon_intensity=7.55648, michel_intensity=1.49415, third_intensity=0.633747, posX=72.3205, posY=49.8477, posZ=118.187, energy=39.1393, lifetime=6.08803, pdg=-11, eventID=10712, trackID=12, date=20250828, reco_lifetime=6016, true_lifetime=6088.03, diff_lifetime=-72.02999999999975, michel_rise=0.08789916666666665, michel_drop=0.11493461538461539)
