OpCh	Count
0	57
1	143
2	223
4	385
5	414
6	409
7	497
8	381
9	222
10	90
11	253
12	386
13	517
14	673
15	734
16	737
17	893
18	667
19	379
20	107
21	341
22	532
23	778
24	965
25	1043
26	1030
27	1298
28	976
29	565
30	75
31	277
32	469
33	689
34	849
35	925
36	909
37	1139
38	850
39	514
40	65
41	218
42	459
43	617
44	796
45	883
46	861
47	1134
48	830
49	516
50	64
51	235
52	470
53	611
54	812
55	928
56	946
57	1186
58	864
59	521
60	41
61	139
62	308
63	394
64	539
65	602
66	690
67	823
68	604
69	355
70	17
71	78
72	168
73	226
74	314
75	361
76	383
77	475
78	343
79	197
80	18
81	70
82	113
83	214
84	226
85	310
88	328
89	159
90	22
91	132
92	200
93	387
94	442
95	542
96	588
98	590
99	328
100	41
101	185
102	310
103	483
104	734
105	880
106	847
108	826
109	460
110	24
111	111
112	189
113	316
114	476
115	561
118	552
119	334
