OpCh	Count
0	130
1	412
2	764
4	1659
5	1632
6	1587
7	1954
8	1558
9	951
10	241
11	721
12	1242
13	1903
14	2813
15	2788
16	2694
17	3253
18	2583
19	1559
20	309
21	976
22	1744
23	2716
24	3992
25	3988
26	3814
27	4754
28	3703
29	2299
30	267
31	769
32	1431
33	2263
34	3372
35	3516
36	3338
37	4155
38	3222
39	1992
40	171
41	543
42	1433
43	2026
44	2832
45	3232
46	3087
47	4272
48	3083
49	1948
50	145
51	498
52	1323
53	1905
54	2751
55	3184
56	3077
57	4213
58	3035
59	1874
60	87
61	336
62	896
63	1257
64	1838
65	1941
66	2250
67	2813
68	2059
69	1265
70	52
71	196
72	538
73	714
74	1060
75	1208
76	1194
77	1556
78	1136
79	690
80	113
81	483
82	794
83	1340
84	1485
85	1707
88	1641
89	887
90	209
91	796
92	1329
93	2237
94	2502
95	2893
96	3054
98	2745
99	1525
100	324
101	1161
102	1886
103	2772
104	3943
105	4464
106	4273
108	3867
109	2091
110	206
111	758
112	1219
113	1787
114	2391
115	2800
118	2394
119	1301
