OpCh	Count
0	141
1	379
2	704
4	1570
5	1531
6	1502
7	1833
8	1422
9	855
10	246
11	636
12	1161
13	1765
14	2715
15	2665
16	2592
17	3153
18	2501
19	1480
20	313
21	890
22	1632
23	2513
24	3815
25	3819
26	3747
27	4578
28	3573
29	2137
30	216
31	686
32	1297
33	2130
34	3228
35	3317
36	3247
37	3966
38	3091
39	1865
40	122
41	484
42	1305
43	1875
44	2626
45	3010
46	2942
47	3913
48	2846
49	1749
50	114
51	433
52	1209
53	1733
54	2532
55	2977
56	2880
57	3890
58	2790
59	1728
60	84
61	330
62	808
63	1128
64	1645
65	1788
66	2065
67	2601
68	1873
69	1184
70	38
71	176
72	448
73	631
74	953
75	1130
76	1090
77	1456
78	1040
79	642
80	98
81	442
82	752
83	1220
84	1389
85	1540
88	1624
89	853
90	173
91	722
92	1256
93	2107
94	2372
95	2659
96	2948
98	2694
99	1446
100	276
101	1055
102	1807
103	2666
104	3747
105	4157
106	4089
108	3736
109	2036
110	196
111	679
112	1146
113	1667
114	2366
115	2599
118	2262
119	1258
