OpCh	Count
0	130
1	364
2	618
4	1551
5	1577
6	1483
7	1818
8	1399
9	852
10	209
11	634
12	1072
13	1750
14	2628
15	2726
16	2533
17	3115
18	2409
19	1459
20	287
21	863
22	1549
23	2444
24	3720
25	3813
26	3646
27	4458
28	3443
29	2081
30	218
31	725
32	1341
33	2106
34	3153
35	3193
36	3087
37	3769
38	2946
39	1770
40	126
41	534
42	1303
43	1843
44	2613
45	2936
46	2909
47	3786
48	2765
49	1674
50	108
51	468
52	1180
53	1700
54	2504
55	2868
56	2862
57	3777
58	2747
59	1639
60	67
61	286
62	742
63	1091
64	1633
65	1745
66	2087
67	2568
68	1880
69	1108
70	41
71	159
72	435
73	614
74	910
75	1065
76	1072
77	1439
78	1039
79	620
80	122
81	424
82	710
83	1213
84	1376
85	1597
88	1512
89	803
90	182
91	706
92	1214
93	2051
94	2343
95	2696
96	2856
98	2613
99	1410
100	295
101	1000
102	1684
103	2524
104	3685
105	4205
106	4015
108	3622
109	1972
110	196
111	650
112	1090
113	1593
114	2280
115	2598
118	2259
119	1270
