OpCh	Count
0	123
1	351
2	597
4	1491
5	1520
6	1428
7	1754
8	1348
9	823
10	200
11	610
12	1037
13	1695
14	2532
15	2633
16	2440
17	3006
18	2321
19	1409
20	275
21	827
22	1494
23	2357
24	3592
25	3689
26	3525
27	4307
28	3322
29	2007
30	210
31	701
32	1295
33	2031
34	3042
35	3085
36	2985
37	3649
38	2851
39	1716
40	122
41	512
42	1265
43	1777
44	2522
45	2834
46	2821
47	3667
48	2677
49	1618
50	104
51	457
52	1143
53	1640
54	2409
55	2765
56	2766
57	3656
58	2657
59	1582
60	67
61	278
62	715
63	1052
64	1575
65	1687
66	2021
67	2480
68	1812
69	1064
70	41
71	154
72	421
73	589
74	871
75	1032
76	1037
77	1391
78	998
79	594
80	117
81	412
82	695
83	1185
84	1339
85	1542
88	1453
89	774
90	176
91	688
92	1188
93	1995
94	2271
95	2606
96	2753
98	2514
99	1359
100	283
101	975
102	1636
103	2446
104	3567
105	4065
106	3880
108	3497
109	1907
110	192
111	637
112	1061
113	1542
114	2206
115	2523
118	2188
119	1229
