Run Event TrackID EndX EndY EndZ
28891 583 1 -131.563 164.809 231.682
28891 663 6 -248.05 143.44 423.526
28891 711 9 -40.5876 410.641 122.504
28891 3105 8 -180.065 266.239 364.809
28891 1831 2 -15.5273 238.054 347.523
28891 1943 0 -349.581 251.147 89.9038
28891 913 10 -37.032 346.407 259.514
28891 1116 1 -139.198 112.744 278.533
28891 1148 7 -43.3004 273.613 345.183
28891 1188 35 328.404 531.864 380.723
28891 2640 8 -48.8086 261.42 232.089
28891 167168 1 82.2999 95.3586 180.573
28891 167184 11 290.385 317.454 361.203
28891 167200 26 -2.96074 280.554 360.294
28891 167208 10 26.6854 147.409 189.206
28891 167296 0 -133.032 399.762 407.185
28891 3019 0 -50.7559 248.36 316.993
28891 3083 13 -23.6016 243.068 337.354
28891 3139 4 -28.6763 179.719 303.484
28891 3147 12 63.2055 431.563 248.372
28891 3179 12 34.174 42.0716 137.464
28891 1033 2 -98.3431 350.806 354.922
28891 1201 7 132.945 274.35 97.2824
28891 165058 15 -18.8611 335.968 366.985
28891 1366 16 -68.7437 388.845 368.39
28891 1470 18 -36.2757 32.6873 411.373
28891 10443 0 -207.616 113.539 256.702
28891 10451 19 -3.16198 244.906 404.936
28891 10595 4 -68.5346 249.937 358.71
28891 10627 6 44.3228 221.708 305.109
28891 9740 22 -15.5405 250.615 384.028
28891 9788 10 -14.8966 320.975 325.344
28891 11455 2 -121.427 112.012 252.757
28891 11471 14 -27.4316 103.566 292.725
28891 11543 12 -23.3054 330.932 425.148
28891 4051 12 296.457 151.35 214.199
28891 4075 4 -3.2154 177.415 397.375
28891 1515 0 -346.211 57.0059 172.114
28891 1531 14 -17.8848 402.982 303.388
28891 1595 7 -81.5932 65.828 383.708
28891 1643 10 -18.5391 202.071 370.817
28891 1707 15 -42.7229 346.79 386.467
28891 14888 11 -48.0092 401.599 307.694
28891 14968 21 -51.0329 223.361 127.818
28891 15032 4 7.58512 264.833 357.877
28891 15040 11 30.8115 449.298 147.021
28891 15048 3 -58.2178 65.7535 301.471
28891 15072 5 165.76 83.2479 310.69
28891 15128 22 267.715 294.497 161.911
28891 1484 15 -53.1386 246.18 286.91
28891 1540 6 -102.815 142.689 66.5864
28891 1556 1 78.3039 285.457 113.623
28891 1660 25 -54.7161 209.611 276.132
28891 1739 0 -115.877 121.638 355.371
28891 1763 3 154.339 164.953 335.334
28891 1787 14 -89.6513 332.975 368.529
28891 1827 19 30.3112 277.738 263.755
28891 1947 0 -273.682 37.6509 423.567
28891 1971 5 -101.94 153.645 332.119
28891 242 8 -214.563 300.873 349.58
28891 322 30 5.94502 403.182 158.409
28891 346 28 -13.9088 388.797 89.2885
28891 378 11 -87.5416 210.158 108.223
28891 386 15 -62.0919 388.474 51.7094
28891 1034 4 -159.363 238.502 145.28
28891 1050 8 -12.7607 295.223 286.763
28891 1194 6 -42.7866 78.7274 386.109
28891 8442 16 -55.5704 418.611 313.718
28891 8578 5 -18.2752 33.1939 183.131
28891 8578 17 -36.8257 290.599 392.561
28891 10192 2 207.341 95.9494 408.609
28891 6018 3 -187.546 437.881 323.111
28891 6042 9 -47.5597 328.021 292.448
28891 6122 19 -76.8848 338.672 346.14
28891 6170 14 -56.5744 271.711 410.679
28891 2508 3 -161.555 115.805 88.4443
28891 2524 0 -269.003 110.195 332.117
28891 10315 14 -115.666 90.7217 390.563
28891 11905 6 28.776 254.512 333.061
28891 12017 10 -76.0507 169.323 145.383
28891 12145 30 -39.6436 505.896 354.988
28891 555 0 -260.696 241.536 285.953
28891 675 24 -25.079 399.811 237.049
28891 6974 30 -3.97299 200.912 351.413
28891 7062 10 -12.8061 62.5825 346.203
28891 7102 11 27.1005 211.451 101.392
28891 7142 8 -5.04407 403.362 285.566
28891 7150 0 -230.71 320.34 413.102
28891 11426 9 -103.665 88.0582 337.997
28891 11498 4 174.466 495.754 286.205
28891 11514 9 -111.343 170.314 249.192
28891 11634 16 -57.1048 314.849 286.527
28891 4014 20 -50.9707 364.28 278.528
28891 4062 17 -15.8397 516.827 354.097
28891 4078 9 -152.263 485.627 354.857
28891 4198 18 -41.4662 254.486 284.055
28891 4206 30 12.6213 528.508 337.937
28891 10432 16 -91.397 414.642 377.704
28891 10496 1 -26.7234 113.793 355.633
28891 10512 6 -16.8187 275.662 426.619
28891 10616 12 -58.9841 377.957 300.604
28891 185604 5 -10.7661 217.647 364.702
28891 185740 9 2.42583 130.171 406.137
28891 240445 5 -92.5058 217.452 41.1906
28891 358513 27 24.0222 531.842 396.005
28891 273388 7 19.2611 404.303 335.461
28891 273404 3 -117.936 60.3575 76.0842
28891 184712 0 -164.45 110.529 321.644
28891 142415 15 -41.2377 128.221 300.964
28891 142599 0 -26.479 41.0308 315.912
28891 88805 3 23.1866 30.5436 111.974
28891 88901 0 355.481 290.447 296.467
28891 88965 17 101.976 92.7055 315.906
28891 11384 12 98.6435 281.199 112.249
28891 11400 18 -17.4323 51.9172 404.538
28891 11408 22 22.3943 385.345 192.348
28891 184628 2 -10.2756 241.266 347.179
28891 184748 10 -33.9034 87.4336 410.58
28891 127240 1 -302.169 312.478 331.791
28891 127264 10 28.7265 398.915 40.7084
28891 127400 6 -22.3732 422.514 87.895
28891 127440 3 -165.118 57.8644 389.995
28891 127472 1 -56.2407 321.602 311.568
28891 339052 41 -12.7625 487.896 251.961
28891 339068 4 99.6934 341.978 347.3
28891 339156 3 -195.092 68.1455 85.2929
28891 172455 2 250.715 80.2563 201.764
28891 57121 1 -133.409 290.818 327.798
28891 57121 14 -61.9563 396.909 346.996
28891 57257 14 -42.7029 344.666 241.958
28891 306092 6 -41.3424 144.026 350.507
28891 306108 17 -100.67 337.504 162.891
28891 127790 3 51.6395 69.0443 315.368
28891 127814 14 70.5875 144.68 235.659
