Run Event TrackID Pandora_T0_ms
28891 166247 4 -1.78314
28891 166335 4 -0.59928
28891 166359 2 -1.08743
28891 166367 2 -0.612842
28891 166391 7 -0.546479
28891 166391 15 -1.91787
28891 2234 4 -1.50894
28891 2314 5 -1.16079
28891 2346 9 -1.7032
28891 1335 15 -2.38147
28891 1375 4 -0.366369
28891 1383 7 -0.84184
28891 1798 3 -0.328301
28891 1958 6 -0.247706
28891 323 9 0.45696
28891 387 16 -2.05571
28891 166165 7 -1.63554
28891 166189 0 0.0883562
28891 166229 13 -1.65694
28891 166229 21 -2.33427
28891 166253 5 -1.39522
28891 246 7 0.0742726
28891 270 9 -1.43011
28891 302 8 -0.0671532
28891 494 23 -2.30892
28891 164700 10 -1.38551
28891 164772 2 -1.40269
28891 164796 35 -0.0339197
28891 164820 0 0.438614
28891 658 7 -1.81982
28891 738 4 -1.93372
28891 301 0 -0.16684
28891 325 4 0.387991
28891 333 31 -2.37703
28891 341 25 -1.28909
28891 421 29 -0.070606
28891 453 10 -2.06647
28891 461 6 -1.63883
28891 3346 19 -1.36232
28891 3394 7 0.295768
28891 4975 3 -0.300794
28891 5095 20 -2.04392
28891 5119 7 -0.22772
28891 7041 0 -0.392373
28891 7161 29 -2.38536
28891 4087 17 -1.53367
28891 4135 3 -0.0475031
28891 1088 7 -1.17874
28891 1112 1 -0.886783
28891 1144 12 -0.181029
28891 1200 19 -1.00162
28891 1232 26 -0.373155
28891 4778 3 -0.0346854
28891 4882 31 0.374394
28891 4898 0 0.00786188
28891 12751 12 -0.388944
28891 12783 1 0.0717717
28891 12783 15 -1.91049
28891 10994 9 -0.000488751
28891 1355 9 -0.643231
28891 1427 3 -1.2967
28891 8790 2 -0.974676
28891 8878 23 -2.15615
28891 3820 19 -0.709781
28891 12469 14 -1.74134
28891 12525 7 -1.44594
28891 12605 8 -2.04149
28891 310998 9 -0.450277
28891 311046 8 0.429992
28891 311054 22 -0.0731098
28891 311070 21 -2.14521
28891 311086 7 0.398782
28891 311198 7 -1.47376
28891 91090 9 -0.47821
28891 91098 0 -0.303444
28891 91106 8 -0.972402
28891 91146 10 -1.99589
28891 91170 6 -0.651023
28891 91186 2 0.0898203
28891 91250 6 -1.13842
28891 250805 5 -1.84716
28891 250845 28 -2.26822
28891 250877 14 0.238462
28891 250885 8 -1.09597
28891 250949 9 -1.1688
28891 50893 12 -1.76802
28891 50973 19 -0.556028
28891 50981 3 0.0874412
28891 51013 8 -2.11568
28891 144247 23 -2.35386
28891 144319 8 -0.623375
28891 231917 1 -0.882752
28891 246558 17 -1.69637
28891 246582 8 -1.24456
28891 246598 10 -2.26764
28891 246742 12 -2.13578
28891 44413 7 -1.64722
28891 44437 6 -1.17147
28891 202959 4 -0.305544
28891 203015 27 -2.30715
28891 348720 6 -2.13411
28891 348808 14 -1.41318
28891 348816 5 -1.2292
28891 348920 3 0.0100045
28891 315307 12 -2.05679
28891 315315 29 -0.250643
28891 315427 9 -1.86781
28891 114582 16 -1.7203
28891 114718 18 -2.16219
28891 114734 1 -0.667933
28891 114750 7 -1.8479
28891 114766 19 -0.472199
28891 238146 15 -2.29691
28891 31260 35 -1.98345
28891 31284 6 -0.105109
28891 31404 16 -1.05986
28891 31428 10 0.268283
28891 31452 2 -0.203445
28891 31468 12 -1.65089
28891 108421 5 -0.297656
28891 108549 2 -0.65403
28891 108573 25 -2.30841
28891 108629 7 -1.57996
28891 214850 14 -2.07855
28891 214882 31 -2.3065
28891 33543 29 -2.46239
28891 33567 37 -0.429494
28891 33583 5 -2.08496
28891 33655 3 -0.35325
28891 33671 4 -0.900703
28891 33671 11 -1.85529
28891 178355 26 -0.676372
28891 178403 8 -1.43355
28891 178507 15 -0.916775
28891 178555 2 -0.668636
28891 141923 2 -1.29718
28891 141963 7 -1.28685
28891 141995 15 -2.22374
28891 142011 0 -0.275406
28891 142059 1 0.105518
28891 142075 6 -0.421201
28891 142099 20 0.186318
28891 96783 3 -0.74263
28891 96799 18 -0.681549
28891 172793 0 -0.269566
28891 172817 5 -1.46107
28891 289233 2 -0.559837
28891 367030 19 0.109098
28891 367054 21 0.4798
28891 367070 1 -0.550801
28891 367086 13 0.35894
28891 367254 21 -1.90971
28891 88602 0 0.267205
28891 88610 25 -2.29539
28891 88682 27 -2.12994
28891 150557 1 -0.572242
28891 150629 7 -1.40085
28891 150789 3 -0.31172
28891 104808 5 -1.54574
28891 252968 2 -1.72667
28891 253016 3 -0.00343422
28891 253032 0 0.345824
28891 253040 4 -0.78965
28891 253120 13 -1.72609
28891 56907 10 -0.0781582
28891 56939 0 -0.182761
28891 56979 11 -0.246708
28891 57035 9 1.99242
28891 12491 33 -2.33225
28891 54751 2 -1.21783
28891 179864 1 -0.623935
28891 180024 21 -2.01691
28891 63767 15 -1.86244
28891 63927 30 -2.36154
28891 146332 17 -1.93183
28891 146412 16 0.336208
28891 146460 11 -1.00347
28891 268883 2 0.0107554
28891 269011 8 -0.51917
28891 158626 4 -0.576984
28891 158626 36 -2.41661
28891 112102 15 -0.817329
28891 112214 4 -1.98417
28891 112230 2 -0.466598
28891 112254 1 -0.648813
28891 112270 29 -2.3028
28891 112318 12 0.337795
28891 320024 9 -1.54809
28891 320032 3 -1.32656
28891 320040 4 -0.285712
28891 320056 8 -1.49016
28891 320080 9 -2.06991
28891 320096 13 -0.964157
28891 139386 2 -2.09205
28891 139410 3 0.0238984
28891 139538 18 1.29841
28891 139578 15 -1.80209
28891 232430 20 -0.960919
28891 232462 9 -1.58508
28891 232590 11 -1.96334
28891 360903 1 -0.940914
28891 360975 6 -1.50696
28891 32337 25 -1.08188
28891 32361 6 -0.435549
28891 32393 9 -0.504535
28891 32473 23 -1.12601
28891 76895 2 0.202606
28891 76911 10 -2.26867
28891 331226 4 -1.84139
28891 329597 4 -1.35142
28891 329669 24 0.340342
28891 329837 20 -2.32394
28891 170922 2 -1.0041
28891 369866 2 -0.547456
28891 369922 0 -1.06998
28891 190757 7 -1.64085
28891 190757 8 -0.994683
28891 190781 19 -0.109704
28891 190845 14 -1.19541
28891 267108 19 -1.91164
28891 267164 5 0.465812
28891 267276 6 -1.44596
28891 209090 4 -1.39279
28891 209090 12 -2.43914
28891 209250 7 -0.860248
28891 277319 15 0.416195
28891 277479 17 0.323509
28891 352979 6 -0.296711
28891 353067 8 -1.50016
28891 19633 6 -1.50254
28891 19665 15 -0.120854
28891 19801 8 0.396273
28891 87294 4 -1.75854
28891 66773 13 -2.11917
28891 66797 9 0.011263
28891 66909 14 -1.27213
28891 66957 23 -2.30335
28891 66965 8 -1.71131
28891 90802 9 -1.13912
28891 133024 5 0.0981422
28891 133064 11 -2.24712
28891 295126 10 -2.21943
28891 295278 8 0.377401
28891 191381 16 -0.933803
28891 191445 11 -2.04566
28891 25579 5 0.318969
28891 25683 14 -0.385958
28891 188540 6 0.350246
28891 188556 5 -0.180617
28891 188668 4 -1.22186
28891 266254 3 -0.907971
28891 108003 25 0.178267
28891 108027 11 0.191903
28891 316717 11 -1.72784
28891 316733 8 0.269243
28891 10021 7 -0.910314
28891 10045 2 -1.39669
28891 10101 3 0.435344
28891 30652 11 -1.82733
28891 30708 1 -0.289645
28891 173204 4 -1.18724
28891 158347 5 -2.08789
28891 158379 7 -0.424121
28891 163929 5 -1.76171
28891 164049 9 -2.01033
28891 164089 31 -0.438989
28891 164113 15 -0.592557
28891 164121 0 -1.14471
28891 164129 11 -1.52354
28891 55364 0 -0.00513294
28891 55524 12 -1.98194
28891 242596 7 0.0224598
28891 242628 4 -1.38787
28891 242660 6 -1.98179
28891 242724 17 -0.573004
28891 221506 5 0.382017
28891 221642 0 -0.802125
28891 221642 8 0.107598
28891 221666 18 -0.412808
28891 221690 9 -0.125139
28891 221706 5 -1.39222
28891 239000 11 -0.573474
28891 353227 11 0.763074
28891 353347 4 -1.42812
28891 247509 5 0.0961427
28891 247525 15 0.304397
28891 247557 22 -1.62525
28891 247637 19 -2.31734
28891 247725 24 -0.08372
28891 32280 3 -1.3645
28891 32408 4 -1.03031
28891 309063 1 -0.988265
28891 309087 10 -1.83913
28891 192992 5 -2.15732
28891 193056 22 -0.905491
28891 193136 19 -0.956595
28891 193160 9 -1.90615
28891 193168 4 -1.02519
28891 193176 17 -1.41493
28891 193184 0 0.301098
28891 280113 28 -2.356
28891 280137 0 0.425404
28891 280153 2 -1.49043
28891 197459 19 -1.16814
28891 197539 7 -1.47493
28891 250135 8 -1.61966
28891 147576 9 -2.22894
28891 147600 7 -1.17006
28891 147616 5 -1.09344
28891 331046 0 -0.779196
28891 331078 8 -0.933495
28891 331078 11 -2.02215
28891 18115 9 -0.117399
28891 18139 14 -0.495301
28891 18155 11 -1.07565
28891 18211 0 -0.832233
28891 18211 2 -0.936696
28891 18339 3 0.349386
28891 218774 9 -1.79389
28891 218942 10 -1.96184
28891 9467 15 -0.316113
28891 9475 14 -1.6308
28891 9523 3 -1.28261
28891 9547 2 -0.457003
28891 9571 1 -1.96066
28891 9587 2 -1.44452
28891 9667 5 -0.778252
28891 9667 12 -0.401377
28891 259326 4 -0.630968
28891 236625 8 -0.566555
28891 236633 19 -1.32435
28891 236649 1 0.196387
28891 236777 5 -1.13222
28891 84412 10 -2.09474
28891 84444 2 -0.776042
28891 84452 7 -0.305473
28891 84468 8 0.0201398
28891 194151 1 -1.048
28891 194159 17 -2.01351
28891 210636 5 -1.57952
28891 210652 6 -0.228249
28891 210684 0 0.0214987
28891 210756 15 0.303002
28891 210764 9 -1.27964
28891 210788 9 0.414499
28891 314977 24 -0.761362
28891 314985 19 -1.75659
28891 315049 3 0.477793
28891 352924 1 -2.09715
28891 353116 15 -1.86788
28891 196728 11 -1.70564
28891 196776 10 -2.00621
28891 196880 10 -0.50383
28891 155508 19 -2.14266
28891 155556 8 -0.49083
28891 155588 12 -1.88428
28891 155732 3 -0.118642
28891 155732 32 -0.111808
28891 155740 1 -0.49382
28891 44739 11 -0.282758
28891 44787 21 -2.11216
28891 44891 15 0.226941
28891 63309 3 0.472491
28891 63461 35 -2.41371
28891 315507 36 -0.0637565
28891 315587 6 -0.93341
28891 315595 6 -1.14402
28891 315611 12 -1.61448
28891 315667 11 -1.27234
28891 321186 7 -0.190572
28891 321258 2 -0.95343
28891 321290 5 -1.8202
28891 321338 22 -0.299132
28891 321354 14 -2.35629
28891 175089 14 -1.20047
28891 175217 14 -2.02565
28891 175233 5 -1.74251
28891 175249 13 -0.147675
28891 175281 10 -0.888894
28891 175321 10 -0.0651569
28891 115409 2 -1.77081
28891 115433 1 0.302157
28891 115497 15 -0.32799
28891 359465 14 -1.55638
28891 359489 19 -2.32737
28891 359497 5 -1.73559
28891 359513 26 -2.30076
28891 342512 22 -1.2319
28891 342512 26 0.151793
28891 342664 12 -0.0695186
28891 342712 42 -2.40937
28891 153075 4 -1.14922
28891 153259 6 -0.243943
28891 247852 3 -0.712451
28891 247900 3 -1.7734
28891 247916 3 -0.880515
28891 247924 1 0.29807
28891 247940 13 -0.546186
28891 68733 12 -1.92509
28891 68829 2 -1.84931
28891 92813 14 0.464229
28891 92845 4 -1.38152
28891 92901 2 -0.965041
28891 92957 12 -1.15836
28891 279041 19 -1.03535
28891 279041 35 -1.50269
28891 279241 6 -0.0332635
28891 217321 12 0.0686578
28891 217329 13 -0.186892
28891 217449 1 0.346876
28891 217457 18 -2.3722
28891 217465 6 -1.31483
28891 217465 10 -1.73651
28891 82514 0 -0.660188
28891 85938 21 0.0272247
28891 179675 0 -0.54113
28891 179683 22 -2.28333
28891 249749 2 -0.825869
28891 249829 24 -1.53627
28891 249869 0 -0.496913
28891 66284 2 -0.973115
28891 66324 12 -1.59808
28891 66332 15 -2.09568
28891 66412 12 0.103603
28891 348224 27 -2.32837
28891 348336 8 -0.927345
28891 242866 1 0.379015
28891 223473 9 -2.30071
28891 223505 9 0.0902347
28891 223537 10 -1.11582
28891 74421 11 -0.402391
28891 74517 10 -0.574049
28891 74621 22 -2.12398
28891 373302 0 -0.226259
28891 373334 10 -0.87191
28891 373350 18 -1.42978
28891 373470 25 -2.34519
28891 36291 12 -1.67237
28891 36315 15 -1.74679
28891 41178 0 -0.945565
28891 41298 13 -2.0908
28891 85839 4 -0.399961
28891 85863 5 0.104693
28891 85943 9 -0.409068
28891 85991 15 -1.98133
28891 85991 18 -2.4371
28891 200939 4 -0.818302
28891 200979 2 -1.83344
28891 262544 1 -1.07276
28891 262584 13 -0.0963801
28891 151838 1 -0.595746
28891 151950 13 -2.22821
28891 19634 6 -1.69683
28891 212987 1 -1.32514
28891 213051 3 -0.4622
28891 213051 5 0.167768
28891 285689 1 -0.731052
28891 182074 21 -1.92156
28891 182162 7 -1.19958
28891 182178 0 -0.705431
28891 182234 6 -1.96765
28891 339522 4 0.447193
28891 339602 14 -1.54903
28891 339642 3 -0.422985
28891 339658 15 2.42409
28891 339722 25 -0.964583
28891 339730 6 -1.64888
28891 153568 5 -1.66489
28891 355236 10 0.180138
28891 355316 39 -2.36297
28891 355348 3 -0.76461
28891 355364 19 -0.650065
28891 355380 17 -0.433757
28891 20585 0 -0.152943
28891 20713 2 -1.15545
28891 20713 13 -2.26955
28891 20729 13 -0.999076
28891 351516 16 -0.447611
28891 351660 19 0.430065
28891 22158 9 -0.777267
28891 71966 10 -1.2387
28891 72046 5 -0.392406
28891 87347 16 -1.94582
28891 87411 17 -0.047568
28891 87531 11 -1.11778
28891 151052 4 0.356631
28891 344158 16 -0.455905
28891 344222 3 -0.184671
28891 230405 10 -2.03124
28891 230533 1 -1.14471
28891 230549 2 -0.80723
28891 230581 3 -1.16201
28891 75167 4 2.23578
28891 75191 1 -0.069255
28891 53114 16 -0.714152
28891 53258 7 -2.2045
28891 171161 6 0.470351
28891 171225 41 -2.45392
28891 171233 21 -2.28816
28891 171273 7 -0.75782
28891 349187 0 -1.04951
28891 349203 9 -0.711716
28891 349299 7 -1.52156
28891 62365 8 0.31952
28891 62389 20 -1.47934
28891 86554 14 -1.55169
28891 86570 4 -1.52753
28891 86714 5 0.448174
28891 86762 9 -0.900177
28891 86770 11 -0.180737
28891 86778 7 -1.93689
28891 336694 13 -2.13948
28891 336758 36 -2.46756
28891 336766 9 -0.868693
28891 66237 0 0.0634558
28891 66365 10 -0.961698
28891 336291 10 -0.775326
28891 336483 33 -1.94873
28891 357387 5 -1.40876
28891 357451 16 -0.709342
28891 357515 8 -1.96867
28891 357555 14 -1.89192
28891 357603 18 0.490518
28891 298947 5 -0.488733
28891 298947 9 -1.7345
28891 298971 3 -0.976279
28891 299011 10 0.0928239
28891 227541 2 -0.617069
28891 227557 10 0.0592855
28891 227589 4 -1.65371
28891 185544 21 -2.2349
28891 185648 18 0.806517
28891 185744 7 -0.697449
28891 314727 5 -0.878269
28891 314839 34 -2.07698
28891 38735 21 -0.92246
28891 38791 3 -1.2082
28891 291446 6 -0.566348
28891 352464 14 -1.07564
28891 352632 9 -1.40645
28891 78717 26 -0.214382
28891 78765 22 -2.35975
28891 78837 2 -0.949195
28891 123431 10 -1.52217
28891 123447 26 -0.280589
28891 366102 1 -0.0609455
28891 103430 31 -2.34754
28891 103574 8 -0.351933
28891 61544 2 0.119171
28891 61656 6 0.312317
28891 61672 14 -0.0695628
28891 61696 7 -0.596894
28891 61720 13 -1.97314
28891 61736 5 -1.13728
28891 299105 20 -0.55243
28891 299257 9 0.236698
28891 299321 11 -0.880058
28891 263167 2 0.157434
28891 263215 4 -0.835272
28891 275357 9 -0.385148
28891 275501 18 -1.98567
28891 106225 1 0.233235
28891 106225 16 -1.15067
28891 106313 3 0.247153
28891 333818 1 -0.240404
28891 333898 13 -1.58931
28891 334042 19 -1.43486
28891 33387 28 -1.09362
28891 33451 3 0.414491
28891 33475 1 -1.24204
28891 88399 7 -1.45805
28891 108652 4 -2.0363
28891 108684 20 -2.25378
28891 108684 31 -2.34172
28891 108716 0 -0.818869
28891 108748 16 -1.87148
28891 248160 17 -0.297897
28891 248168 5 -1.72719
28891 248224 1 -0.421117
28891 295141 5 0.170323
28891 295285 24 -2.36277
28891 295309 11 -1.95355
28891 366550 11 -1.79741
28891 366558 10 -0.212235
28891 366622 19 -2.45705
28891 366670 16 -1.44971
28891 366678 3 -0.512281
28891 366686 1 0.11005
28891 366774 1 -1.77532
28891 83546 14 -1.75006
28891 265374 5 -1.73432
28891 265438 22 -0.659435
28891 265494 2 -0.311752
28891 265502 2 -0.109885
28891 265566 5 -1.21167
28891 239594 11 -0.587695
28891 239626 29 -1.97938
28891 239634 3 -1.54947
28891 286100 24 -2.25623
28891 286148 4 -0.685452
28891 99736 7 0.246282
28891 99752 16 -0.291845
28891 99808 1 -1.34113
28891 99848 9 0.455264
28891 99864 2 -0.849109
28891 99896 0 0.241576
28891 144656 12 -0.977768
28891 144720 13 0.433465
28891 144760 2 -0.052741
28891 144808 2 -0.562807
28891 144816 2 -1.2088
28891 48085 4 -0.477038
28891 59278 3 -1.73443
28891 59438 5 -0.645496
28891 168323 11 -0.393064
28891 168339 5 -1.88617
