Run Event TrackID VertexX VertexY VertexZ
28891 164091 2 -227.519 549.752 338.877
28891 164163 8 100.92 587.013 232.487
28891 2182 13 13.186 406.784 276.693
28891 2222 26 34.7681 585.401 294.174
28891 1568 9 -88.905 589.94 266.707
28891 1640 8 -119.391 472.516 329.606
28891 1712 0 342.225 609.502 272.044
28891 1325 9 -70.7054 592.153 408.133
28891 1333 7 56.2655 560.319 451.823
28891 1333 8 95.2144 335.691 160.811
28891 241 1 74.1098 603.247 455.857
28891 273 6 -76.2137 560.13 458.693
28891 345 19 -7.81999 548.813 446.358
28891 377 9 27.0102 297.404 14.4772
28891 2302 2 -25.3915 591.498 181.698
28891 8371 7 125.088 473.276 457.121
28891 8379 18 31.1218 243.249 446.305
28891 8395 6 37.6381 595.167 226.315
28891 2961 6 54.0154 598.239 93.6681
28891 574 27 51.664 95.7414 311.18
28891 606 15 -57.3002 386.938 57.7932
28891 646 7 264.534 508.393 233.395
28891 678 14 62.4528 589.091 261.526
28891 726 9 75.1058 593.261 363.486
28891 1384 17 75.335 594.624 125.302
28891 1400 5 138.147 594.45 297.732
28891 1504 2 -12.0327 584.546 264.342
28891 168173 24 7.46916 353.885 163.053
28891 168189 15 101.545 419.025 247.408
28891 168237 11 -85.6051 592.559 288.043
28891 168373 7 44.616 593.707 203.156
28891 167198 1 162.192 599.78 314.155
28891 167390 0 184.315 579.14 5.50384
28891 859 46 9.11266 565.527 323.665
28891 899 9 130.91 468.934 323.936
28891 1534 16 89.3805 310.712 455.767
28891 1542 20 39.8663 596.129 71.7823
28891 1646 8 86.668 578.834 384.325
28891 1718 9 101.772 596.345 132.18
28891 521 3 31.2028 588.341 277.511
28891 569 15 -9.30309 587.345 300.371
28891 601 23 5.99729 586.826 264.471
28891 625 7 -54.4323 573.626 227.998
28891 721 19 23.584 589.721 343.237
28891 729 5 181.944 484.984 329.401
28891 10836 7 -73.7514 569.709 36.3602
28891 10836 18 -85.3082 590.506 249.208
28891 10868 19 82.5265 528.478 376.646
28891 188 36 4.73285 572.182 391.251
