
Processing group1.C...



Processing ROOT file:
michelt0_decon_run028891_0670_dataflow5_datawriter_0_20240824T081632.root

Event: 166165 | Track IDs: 7 

Event: 166173 | Track IDs: 

Event: 166181 | Track IDs: 0 5 16 

Event: 166189 | Track IDs: 0 22 

Event: 166197 | Track IDs: 2 

Event: 166205 | Track IDs: 

Event: 166213 | Track IDs: 4 27 

Event: 166221 | Track IDs: 6 

Event: 166229 | Track IDs: 0 9 13 21 

Event: 166237 | Track IDs: 12 29 

Event: 166245 | Track IDs: 0 5 9 

Event: 166253 | Track IDs: 2 5 

Event: 166261 | Track IDs: 15 23 

Event: 166269 | Track IDs: 0 

Event: 166277 | Track IDs: 2 4 

Event: 166285 | Track IDs: 5 18 

Event: 166293 | Track IDs: 1 16 

Event: 166301 | Track IDs: 0 

Event: 166309 | Track IDs: 2 5 27 

Event: 166317 | Track IDs: 1 8 

Event: 166325 | Track IDs: 

Event: 166333 | Track IDs: 1 9 

Event: 166341 | Track IDs: 1 4 

Event: 166349 | Track IDs: 

Event: 166357 | Track IDs: 14 

Event: 166365 | Track IDs: 

Event: 166373 | Track IDs: 2 8 11 34 

Event: 166381 | Track IDs: 

Event: 166389 | Track IDs: 14 

Event: 166397 | Track IDs: 28 

Event: 166405 | Track IDs: 14 



Processing ROOT file:
michelt0_decon_run028891_0645_dataflow3_datawriter_0_20240824T073612.root

Event: 159963 | Track IDs: 12 

Event: 159971 | Track IDs: 

Event: 159979 | Track IDs: 0 3 22 

Event: 159987 | Track IDs: 0 2 

Event: 159995 | Track IDs: 2 4 5 

Event: 160003 | Track IDs: 0 5 

Event: 160011 | Track IDs: 2 4 31 

Event: 160019 | Track IDs: 4 

Event: 160027 | Track IDs: 5 

Event: 160035 | Track IDs: 0 

Event: 160043 | Track IDs: 

Event: 160051 | Track IDs: 5 

Event: 160059 | Track IDs: 20 24 

Event: 160067 | Track IDs: 1 3 25 

Event: 160075 | Track IDs: 0 2 4 12 17 

Event: 160083 | Track IDs: 0 8 

Event: 160091 | Track IDs: 4 13 

Event: 160099 | Track IDs: 2 

Event: 160107 | Track IDs: 0 1 11 

Event: 160115 | Track IDs: 

Event: 160123 | Track IDs: 

Event: 160131 | Track IDs: 1 13 

Event: 160139 | Track IDs: 

Event: 160147 | Track IDs: 

Event: 160155 | Track IDs: 

Event: 160163 | Track IDs: 

Event: 160171 | Track IDs: 20 

Event: 160179 | Track IDs: 

Event: 160187 | Track IDs: 4 

Event: 160195 | Track IDs: 0 11 

Event: 160203 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0664_dataflow4_datawriter_0_20240824T080513.root

Event: 164676 | Track IDs: 

Event: 164684 | Track IDs: 20 

Event: 164692 | Track IDs: 

Event: 164700 | Track IDs: 0 3 10 24 

Event: 164708 | Track IDs: 2 12 

Event: 164716 | Track IDs: 0 

Event: 164724 | Track IDs: 

Event: 164732 | Track IDs: 3 8 

Event: 164740 | Track IDs: 5 

Event: 164748 | Track IDs: 3 4 

Event: 164756 | Track IDs: 1 2 3 15 

Event: 164764 | Track IDs: 5 6 

Event: 164772 | Track IDs: 2 5 

Event: 164780 | Track IDs: 

Event: 164788 | Track IDs: 

Event: 164796 | Track IDs: 1 5 35 

Event: 164804 | Track IDs: 10 12 14 

Event: 164812 | Track IDs: 

Event: 164820 | Track IDs: 0 6 

Event: 164828 | Track IDs: 9 13 

Event: 164836 | Track IDs: 

Event: 164844 | Track IDs: 5 7 21 

Event: 164852 | Track IDs: 

Event: 164860 | Track IDs: 7 

Event: 164868 | Track IDs: 1 14 

Event: 164876 | Track IDs: 

Event: 164884 | Track IDs: 3 15 

Event: 164892 | Track IDs: 3 18 

Event: 164900 | Track IDs: 21 

Event: 164908 | Track IDs: 4 14 

Event: 164916 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0800_dataflow3_datawriter_0_20240824T114013.root

Event: 198403 | Track IDs: 0 14 

Event: 198411 | Track IDs: 8 

Event: 198419 | Track IDs: 15 

Event: 198427 | Track IDs: 6 34 

Event: 198435 | Track IDs: 2 6 10 

Event: 198443 | Track IDs: 

Event: 198451 | Track IDs: 0 51 

Event: 198459 | Track IDs: 3 19 

Event: 198467 | Track IDs: 1 3 12 

Event: 198475 | Track IDs: 

Event: 198483 | Track IDs: 2 

Event: 198491 | Track IDs: 11 14 

Event: 198499 | Track IDs: 2 10 19 

Event: 198507 | Track IDs: 5 

Event: 198515 | Track IDs: 16 19 24 

Event: 198523 | Track IDs: 

Event: 198531 | Track IDs: 0 21 

Event: 198539 | Track IDs: 

Event: 198547 | Track IDs: 

Event: 198555 | Track IDs: 4 

Event: 198563 | Track IDs: 6 

Event: 198571 | Track IDs: 1 

Event: 198579 | Track IDs: 

Event: 198587 | Track IDs: 1 

Event: 198595 | Track IDs: 

Event: 198603 | Track IDs: 10 12 

Event: 198611 | Track IDs: 15 39 

Event: 198619 | Track IDs: 3 7 16 19 

Event: 198627 | Track IDs: 

Event: 198635 | Track IDs: 18 

Event: 198643 | Track IDs: 2 3 



Processing ROOT file:
michelt0_decon_run028891_0643_dataflow0_datawriter_0_20240824T073300.root

Event: 159472 | Track IDs: 8 

Event: 159480 | Track IDs: 3 9 

Event: 159488 | Track IDs: 5 

Event: 159496 | Track IDs: 

Event: 159504 | Track IDs: 4 16 17 

Event: 159512 | Track IDs: 0 3 

Event: 159520 | Track IDs: 8 

Event: 159528 | Track IDs: 17 

Event: 159536 | Track IDs: 11 

Event: 159544 | Track IDs: 0 

Event: 159552 | Track IDs: 7 17 

Event: 159560 | Track IDs: 2 9 36 39 

Event: 159568 | Track IDs: 

Event: 159576 | Track IDs: 

Event: 159584 | Track IDs: 2 34 

Event: 159592 | Track IDs: 15 18 

Event: 159600 | Track IDs: 2 21 

Event: 159608 | Track IDs: 1 2 4 6 10 14 

Event: 159616 | Track IDs: 32 

Event: 159624 | Track IDs: 2 13 

Event: 159632 | Track IDs: 18 25 

Event: 159640 | Track IDs: 

Event: 159648 | Track IDs: 3 

Event: 159656 | Track IDs: 0 

Event: 159664 | Track IDs: 

Event: 159672 | Track IDs: 3 8 

Event: 159680 | Track IDs: 0 1 3 6 

Event: 159688 | Track IDs: 1 2 

Event: 159696 | Track IDs: 0 1 

Event: 159704 | Track IDs: 1 

Event: 159712 | Track IDs: 2 4 



Processing ROOT file:
michelt0_decon_run028891_0672_dataflow6_datawriter_0_20240824T081906.root

Event: 166662 | Track IDs: 4 7 11 

Event: 166670 | Track IDs: 7 

Event: 166678 | Track IDs: 0 5 

Event: 166686 | Track IDs: 2 

Event: 166694 | Track IDs: 4 6 9 12 25 30 

Event: 166702 | Track IDs: 3 

Event: 166710 | Track IDs: 3 

Event: 166718 | Track IDs: 3 4 12 

Event: 166726 | Track IDs: 

Event: 166734 | Track IDs: 2 11 15 31 

Event: 166742 | Track IDs: 9 

Event: 166750 | Track IDs: 1 

Event: 166758 | Track IDs: 19 23 

Event: 166766 | Track IDs: 2 

Event: 166774 | Track IDs: 0 

Event: 166782 | Track IDs: 0 5 

Event: 166790 | Track IDs: 

Event: 166798 | Track IDs: 8 14 18 

Event: 166806 | Track IDs: 0 10 

Event: 166814 | Track IDs: 4 5 

Event: 166822 | Track IDs: 0 5 7 

Event: 166830 | Track IDs: 1 8 

Event: 166838 | Track IDs: 0 

Event: 166846 | Track IDs: 4 

Event: 166854 | Track IDs: 0 14 32 

Event: 166862 | Track IDs: 4 

Event: 166870 | Track IDs: 0 3 4 9 14 15 

Event: 166878 | Track IDs: 0 11 

Event: 166886 | Track IDs: 6 

Event: 166894 | Track IDs: 4 12 

Event: 166910 | Track IDs: 15 



Processing ROOT file:
michelt0_decon_run028891_0674_dataflow6_datawriter_0_20240824T082156.root

Event: 167158 | Track IDs: 1 5 

Event: 167166 | Track IDs: 

Event: 167174 | Track IDs: 

Event: 167182 | Track IDs: 1 

Event: 167190 | Track IDs: 4 6 

Event: 167198 | Track IDs: 1 

Event: 167206 | Track IDs: 6 18 

Event: 167214 | Track IDs: 

Event: 167222 | Track IDs: 0 3 9 

Event: 167230 | Track IDs: 

Event: 167238 | Track IDs: 

Event: 167246 | Track IDs: 1 

Event: 167254 | Track IDs: 2 

Event: 167262 | Track IDs: 22 

Event: 167270 | Track IDs: 

Event: 167278 | Track IDs: 13 14 24 

Event: 167286 | Track IDs: 6 15 

Event: 167294 | Track IDs: 

Event: 167302 | Track IDs: 7 

Event: 167310 | Track IDs: 3 

Event: 167318 | Track IDs: 3 

Event: 167326 | Track IDs: 8 15 

Event: 167334 | Track IDs: 0 16 

Event: 167342 | Track IDs: 0 2 

Event: 167350 | Track IDs: 

Event: 167358 | Track IDs: 2 16 19 

Event: 167366 | Track IDs: 3 10 

Event: 167374 | Track IDs: 0 7 21 

Event: 167382 | Track IDs: 7 

Event: 167390 | Track IDs: 0 5 7 

Event: 167398 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0685_dataflow6_datawriter_0_20240824T083951.root

Event: 169886 | Track IDs: 6 18 

Event: 169894 | Track IDs: 1 22 

Event: 169902 | Track IDs: 12 

Event: 169910 | Track IDs: 1 4 

Event: 169918 | Track IDs: 

Event: 169926 | Track IDs: 

Event: 169934 | Track IDs: 10 

Event: 169942 | Track IDs: 0 

Event: 169950 | Track IDs: 2 11 

Event: 169958 | Track IDs: 2 

Event: 169966 | Track IDs: 1 

Event: 169974 | Track IDs: 8 

Event: 169982 | Track IDs: 5 9 

Event: 169990 | Track IDs: 0 13 

Event: 169998 | Track IDs: 1 

Event: 170006 | Track IDs: 1 5 

Event: 170014 | Track IDs: 0 1 10 

Event: 170022 | Track IDs: 9 19 

Event: 170030 | Track IDs: 

Event: 170038 | Track IDs: 20 

Event: 170046 | Track IDs: 

Event: 170054 | Track IDs: 13 

Event: 170062 | Track IDs: 0 

Event: 170070 | Track IDs: 18 

Event: 170078 | Track IDs: 21 27 

Event: 170086 | Track IDs: 

Event: 170094 | Track IDs: 18 

Event: 170102 | Track IDs: 0 3 

Event: 170110 | Track IDs: 

Event: 170118 | Track IDs: 0 2 3 

Event: 170126 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0670_dataflow7_datawriter_0_20240824T081632.root

Event: 166167 | Track IDs: 1 2 3 

Event: 166175 | Track IDs: 4 

Event: 166183 | Track IDs: 0 

Event: 166191 | Track IDs: 4 

Event: 166199 | Track IDs: 0 

Event: 166207 | Track IDs: 1 

Event: 166215 | Track IDs: 

Event: 166223 | Track IDs: 1 

Event: 166231 | Track IDs: 6 

Event: 166239 | Track IDs: 

Event: 166247 | Track IDs: 2 4 10 

Event: 166255 | Track IDs: 0 5 

Event: 166263 | Track IDs: 6 

Event: 166271 | Track IDs: 

Event: 166279 | Track IDs: 3 9 20 

Event: 166287 | Track IDs: 0 18 

Event: 166295 | Track IDs: 

Event: 166303 | Track IDs: 1 2 

Event: 166311 | Track IDs: 0 

Event: 166319 | Track IDs: 6 

Event: 166327 | Track IDs: 5 6 10 18 

Event: 166335 | Track IDs: 4 5 

Event: 166343 | Track IDs: 1 12 

Event: 166351 | Track IDs: 1 3 23 45 

Event: 166359 | Track IDs: 0 1 2 4 

Event: 166367 | Track IDs: 2 3 

Event: 166375 | Track IDs: 3 13 

Event: 166383 | Track IDs: 

Event: 166391 | Track IDs: 3 7 15 

Event: 166399 | Track IDs: 0 13 

Event: 166407 | Track IDs: 0 1 5 9 



Processing ROOT file:
michelt0_decon_run028891_0665_dataflow2_datawriter_0_20240824T080901.root

Event: 164922 | Track IDs: 

Event: 164930 | Track IDs: 8 

Event: 164938 | Track IDs: 1 17 

Event: 164946 | Track IDs: 

Event: 164954 | Track IDs: 10 

Event: 164962 | Track IDs: 21 

Event: 164970 | Track IDs: 

Event: 164978 | Track IDs: 

Event: 164986 | Track IDs: 11 27 

Event: 164994 | Track IDs: 

Event: 165002 | Track IDs: 2 

Event: 165010 | Track IDs: 2 6 

Event: 165018 | Track IDs: 7 

Event: 165026 | Track IDs: 0 

Event: 165034 | Track IDs: 2 18 

Event: 165042 | Track IDs: 0 2 4 6 20 

Event: 165050 | Track IDs: 10 

Event: 165058 | Track IDs: 15 

Event: 165066 | Track IDs: 1 17 

Event: 165074 | Track IDs: 43 

Event: 165082 | Track IDs: 28 

Event: 165090 | Track IDs: 14 

Event: 165098 | Track IDs: 0 

Event: 165106 | Track IDs: 10 11 

Event: 165114 | Track IDs: 0 4 

Event: 165122 | Track IDs: 17 

Event: 165130 | Track IDs: 2 

Event: 165138 | Track IDs: 5 

Event: 165146 | Track IDs: 0 3 

Event: 165154 | Track IDs: 0 1 

Event: 165162 | Track IDs: 8 



Processing ROOT file:
michelt0_decon_run028891_0661_dataflow3_datawriter_0_20240824T080035.root

Event: 163931 | Track IDs: 1 

Event: 163939 | Track IDs: 0 5 29 

Event: 163947 | Track IDs: 16 

Event: 163955 | Track IDs: 1 27 

Event: 163963 | Track IDs: 0 

Event: 163971 | Track IDs: 

Event: 163979 | Track IDs: 

Event: 163987 | Track IDs: 8 

Event: 163995 | Track IDs: 

Event: 164003 | Track IDs: 0 1 21 

Event: 164011 | Track IDs: 0 2 

Event: 164019 | Track IDs: 12 

Event: 164027 | Track IDs: 36 

Event: 164035 | Track IDs: 0 

Event: 164043 | Track IDs: 0 4 

Event: 164051 | Track IDs: 0 3 

Event: 164059 | Track IDs: 1 4 

Event: 164067 | Track IDs: 

Event: 164075 | Track IDs: 

Event: 164083 | Track IDs: 1 5 

Event: 164091 | Track IDs: 0 1 2 

Event: 164099 | Track IDs: 0 3 11 

Event: 164107 | Track IDs: 0 

Event: 164115 | Track IDs: 

Event: 164123 | Track IDs: 1 28 

Event: 164131 | Track IDs: 0 

Event: 164139 | Track IDs: 

Event: 164147 | Track IDs: 0 3 6 7 26 

Event: 164155 | Track IDs: 

Event: 164163 | Track IDs: 0 1 8 

Event: 164171 | Track IDs: 



Processing ROOT file:
michelt0_decon_run028891_0001_dataflow1_datawriter_0_20240823T151647.root

Event: 241 | Track IDs: 1 

Event: 249 | Track IDs: 1 

Event: 265 | Track IDs: 

Event: 273 | Track IDs: 6 

Event: 281 | Track IDs: 

Event: 289 | Track IDs: 1 2 

Event: 297 | Track IDs: 0 5 

Event: 305 | Track IDs: 

Event: 313 | Track IDs: 

Event: 321 | Track IDs: 2 3 5 

Event: 329 | Track IDs: 1 12 

Event: 337 | Track IDs: 3 8 9 22 

Event: 345 | Track IDs: 2 19 24 

Event: 353 | Track IDs: 5 

Event: 361 | Track IDs: 0 2 14 

Event: 369 | Track IDs: 1 

Event: 377 | Track IDs: 7 9 12 

Event: 385 | Track IDs: 4 

Event: 393 | Track IDs: 0 2 5 

Event: 401 | Track IDs: 2 

Event: 409 | Track IDs: 11 

Event: 417 | Track IDs: 24 

Event: 425 | Track IDs: 0 3 9 

Event: 433 | Track IDs: 1 

Event: 441 | Track IDs: 0 1 13 36 

Event: 449 | Track IDs: 

Event: 457 | Track IDs: 27 

Event: 465 | Track IDs: 

Event: 473 | Track IDs: 

Event: 481 | Track IDs: 1 

Event: 489 | Track IDs: 31 



Processing ROOT file:
michelt0_decon_run028891_0000_dataflow5_datawriter_0_20240823T151513.root

Event: 5 | Track IDs: 5 31 

Event: 13 | Track IDs: 

Event: 21 | Track IDs: 0 11 

Event: 29 | Track IDs: 8 

Event: 37 | Track IDs: 

Event: 45 | Track IDs: 17 19 

Event: 53 | Track IDs: 3 

Event: 61 | Track IDs: 

Event: 69 | Track IDs: 4 8 

Event: 77 | Track IDs: 1 

Event: 85 | Track IDs: 

Event: 93 | Track IDs: 33 

Event: 101 | Track IDs: 

Event: 109 | Track IDs: 

Event: 117 | Track IDs: 1 5 6 

Event: 125 | Track IDs: 1 

Event: 133 | Track IDs: 0 

Event: 141 | Track IDs: 

Event: 149 | Track IDs: 3 18 

Event: 157 | Track IDs: 0 

Event: 165 | Track IDs: 

Event: 173 | Track IDs: 1 6 

Event: 181 | Track IDs: 0 3 20 

Event: 189 | Track IDs: 

Event: 197 | Track IDs: 8 17 

Event: 205 | Track IDs: 10 20 

Event: 213 | Track IDs: 

Event: 221 | Track IDs: 

Event: 229 | Track IDs: 2 

Event: 237 | Track IDs: 0 1 

Event: 253 | Track IDs: 27 



Processing ROOT file:
michelt0_decon_run028891_0000_dataflow0_datawriter_0_20240823T151513.root

Event: 8 | Track IDs: 0 

Event: 16 | Track IDs: 1 2 

Event: 24 | Track IDs: 0 1 

Event: 32 | Track IDs: 

Event: 40 | Track IDs: 0 

Event: 48 | Track IDs: 

